concept,aoa,n_sources
acorn,5.95,3
album,6.72,1
almond,7.67,1
aloe,8.95,3
amber,9.28,1
amplifier,11.35,1
anklet,9.06,1
anteater,8.5,1
antelope,8.39,1
antenna,7.05,3
anvil,10.79,1
apron,6.75,1
aquarium,6.84,1
arm,3.26,1
artichoke,10.0,3
asparagus,6.79,1
avocado,9.29,1
backdrop,9.78,1
backgammon,10.0,1
backscratcher,6.63,1
bagpipe,9.33,1
bamboo,9.28,3
bandanna,8.59,1
banner,9.17,1
barrel,7.72,3
baseball,4.83,1
basil,10.133,1
basket,5.67,1
bassinet,9.18,1
bathtub,3.22,1
batter,7.05,1
battery,5.58,1
beaker,11.25,1
beaver,5.21,1
bed,2.89,1
bedpost,6.62,1
bee,5.0,1
binoculars,6.79,1
blender,6.84,3
blind,7.0,1
blower,8.32,3
boa,9.56,1
boat,3.84,1
bobsled,9.38,3
bone,5.53,1
bonsai,11.22,1
book,3.68,1
bookmark,8.26,1
bookshelf,7.68,1
boulder,7.916,1
bouquet,8.72,3
box,4.3,1
bracket,8.56,1
braid,7.22,1
brake,5.95,1
branch,5.11,1
broccoli,5.2,1
bubble,3.79,1
bucket,5.61,1
buffet,7.58,3
buggy,6.95,1
bulldozer,5.61,3
bumper,7.32,1
burner,8.0,1
butter,5.78,1
cabinet,6.06,1
cable,9.2,1
cactus,6.72,1
cage,5.06,1
cake,3.26,3
candle,5.37,1
candlestick,5.61,3
candy,4.0,1
cantaloupe,7.22,1
caramel,6.58,3
card,6.2,1
cardigan,10.11,1
carousel,6.68,3
carriage,5.84,1
carrot,2.74,3
cassette,6.37,3
catfish,6.61,1
cauliflower,6.18,1
cello,9.89,1
centerpiece,8.89,1
cereal,4.44,1
chalk,4.47,1
charcoal,8.0,1
charger,10.63,1
cheese,4.33,3
chin,4.22,1
chinchilla,12.67,1
chipmunk,4.7,1
chive,11.071,1
cilantro,12.27,1
cinnamon,5.37,1
clam,7.37,1
clarinet,9.22,1
clay,5.32,1
clipboard,7.76,1
cloak,6.95,3
clothesline,6.67,1
clothespin,7.83,3
clove,10.88,1
coaster,7.89,3
coat,3.58,1
coconut,6.5,1
coleslaw,6.72,1
collar,6.56,1
compost,9.72,1
cooler,6.11,1
coral,9.06,1
cork,9.05,3
corn,4.61,1
cornbread,6.4,3
corset,10.67,3
counter,7.11,1
cow,3.94,1
coyote,6.68,1
crane,6.776,1
crate,7.06,1
crib,6.05,1
crown,7.8,1
crumb,5.89,1
cymbal,9.94,3
dashboard,9.21,1
dessert,5.61,1
dice,6.37,1
dip,7.0,1
dish,4.89,1
dishwasher,7.16,1
domino,6.17,1
donkey,6.0,1
doorbell,5.05,1
dough,6.63,1
dragonfly,6.8,1
drill,7.14,1
drumstick,7.79,1
dryer,6.16,1
dumbwaiter,11.47,1
dumpling,8.5,3
dustpan,6.47,1
eagle,5.83,1
egg,3.89,1
eggnog,7.45,1
eggplant,8.3,1
elbow,4.78,3
fan,5.63,3
ferry,8.0,1
figurine,9.0,1
filter,8.05,1
fingerprint,7.56,1
firewood,6.61,1
flan,12.65,3
flashlight,5.61,1
float,5.39,1
flower,3.11,1
flute,8.47,1
foam,6.15,3
fondue,10.78,1
footbath,8.53,3
forklift,9.11,1
fox,5.017,3
freezer,4.63,3
frog,4.32,1
fruitcake,8.28,3
fudge,5.78,1
funnel,8.44,1
fuse,10.78,1
gargoyle,10.18,1
garlic,6.89,1
gazelle,9.37,1
gel,7.21,1
generator,11.11,1
gift,5.05,1
glasses,4.346,1
glove,4.3,1
goat,5.21,1
gondola,10.21,3
goose,5.15,1
gorilla,5.74,1
gourd,10.65,1
graffiti,9.47,1
grain,7.44,1
grate,8.9,3
groundhog,6.0,1
gutter,7.79,3
hammock,7.11,1
hamster,4.37,3
handle,6.3,1
harmonica,7.32,1
harness,7.83,1
headdress,9.06,3
headrest,7.68,1
hedgehog,8.63,3
hippopotamus,7.0,1
hoe,8.72,3
hood,5.5,1
hopscotch,5.8,3
horn,4.84,3
horse,4.15,1
hubcap,8.39,1
hummingbird,6.95,1
hydrant,6.89,1
ice,3.86,1
iguana,7.61,1
incense,10.45,1
jellyfish,6.61,1
jersey,8.961,1
jug,5.83,1
jukebox,7.42,1
kaleidoscope,7.41,1
kayak,8.8,1
key,3.58,1
kimono,11.37,3
knitting,7.245,1
koala,6.0,3
ladybug,4.84,1
lamp,4.0,1
lantern,8.55,1
