trial_id,section,block,tier,condition,difficulty_bin,duplicate_image,img_1,img_2,img_3,oddity_index,odd_concept,pair_a,pair_b,pair_category,odd_category,spose_pair,spose_odd_a,spose_odd_b,p_correct_spose,clip_pair,clip_odd_a,clip_odd_b,clip_margin
training_00,training,,training,animal_vs_office supply,,0,turtle,clipboard,pigeon,1,clipboard,pigeon,turtle,animal,office supply,0.92,0.104,0.108,0.989,0.667,0.557,0.523,0.109
training_01,training,,training,plant_vs_electronic device,,0,pineapple,amplifier,flower,1,amplifier,flower,pineapple,plant,electronic device,0.837,0.103,0.084,0.974,0.631,0.46,0.523,0.109
training_02,training,,training,container_vs_food,,0,dessert,crate,forklift,0,dessert,crate,forklift,container,food,0.887,0.102,0.086,0.986,0.486,0.432,0.444,0.042
training_03,training,,training,food_vs_part of car,,0,fondue,marshmallow,brake,2,brake,fondue,marshmallow,food,part of car,0.841,0.13,0.089,0.97,0.674,0.506,0.466,0.167
warmup_00,warmup,,warmup,food_vs_home decor,,0,sauerkraut,poster,almond,1,poster,almond,sauerkraut,food,home decor,0.781,0.154,0.107,0.95,0.554,0.383,0.389,0.165
warmup_01,warmup,,warmup,food_vs_clothing,,0,fruitcake,cardigan,carrot,1,cardigan,carrot,fruitcake,food,clothing,0.818,0.225,0.177,0.933,0.547,0.476,0.501,0.046
warmup_02,warmup,,warmup,animal_vs_clothing,,0,snail,jellyfish,sweater,2,sweater,jellyfish,snail,animal,clothing,0.839,0.217,0.132,0.937,0.651,0.58,0.508,0.072
warmup_03,warmup,,warmup,plant_vs_vehicle,,0,artichoke,subway,tamale,1,subway,artichoke,tamale,plant,vehicle,0.74,0.093,0.132,0.937,0.646,0.382,0.378,0.264
catch_00,catch,,catch,attention_check,,1,boat,cymbal,boat,1,cymbal,boat,boat,,,1.0,,,,1.0,0.426,0.426,
catch_01,catch,,catch,attention_check,,1,swordfish,teacup,teacup,0,swordfish,teacup,teacup,,,1.0,,,,1.0,0.4,0.4,
catch_02,catch,,catch,attention_check,,1,cheese,cheese,leggings,2,leggings,cheese,cheese,,,1.0,,,,1.0,0.413,0.413,
core_00,core,,familiar,visual_conflict,very hard,0,baseball,visor,headdress,0,baseball,headdress,visor,clothing,sports equipment,0.707,0.438,0.63,0.516,0.517,0.528,0.433,-0.01
core_01,core,,familiar,visual_conflict,hard,0,avocado,cactus,zucchini,1,cactus,avocado,zucchini,food,plant,0.801,0.456,0.613,0.68,0.704,0.716,0.695,-0.012
core_02,core,,familiar,visual_conflict,medium,0,sunflower,garlic,bee,1,garlic,bee,sunflower,animal,food,0.869,0.421,0.634,0.796,0.659,0.673,0.703,-0.045
core_03,core,,familiar,visual_conflict,easy,0,sorbet,butter,hammock,2,hammock,butter,sorbet,food,furniture,0.795,0.26,0.209,0.881,0.62,0.662,0.546,-0.042
core_04,core,,familiar,visual_conflict,very easy,0,hedgehog,goat,saddle,2,saddle,goat,hedgehog,animal,sports equipment,0.929,0.473,0.352,0.927,0.657,0.668,0.56,-0.011
core_05,core,,familiar,visual_conflict,very hard,0,clam,coconut,parsley,0,clam,coconut,parsley,food,animal,0.794,0.758,0.602,0.487,0.698,0.733,0.667,-0.035
core_06,core,,familiar,visual_conflict,hard,0,pot,lobster,gazelle,0,pot,gazelle,lobster,animal,container,0.711,0.092,0.485,0.59,0.596,0.475,0.627,-0.031
core_07,core,,familiar,visual_conflict,medium,0,swan,monkey,orchid,2,orchid,monkey,swan,animal,plant,0.845,0.367,0.512,0.796,0.6,0.581,0.712,-0.112
core_08,core,,familiar,visual_conflict,easy,0,marker,harmonica,trumpet,0,marker,harmonica,trumpet,musical instrument,tool,0.877,0.55,0.559,0.802,0.609,0.633,0.556,-0.025
core_09,core,,familiar,visual_conflict,very easy,0,sloth,egg,seagull,1,egg,seagull,sloth,animal,food,0.902,0.469,0.396,0.901,0.623,0.654,0.501,-0.032
core_10,core,,familiar,visual_agree,very hard,0,salami,dish,raisin,1,dish,raisin,salami,food,container,0.755,0.558,0.58,0.482,0.677,0.567,0.504,0.11
core_11,core,,familiar,visual_agree,hard,0,bouquet,pesto,papaya,0,bouquet,papaya,pesto,food,decoration,0.842,0.751,0.555,0.631,0.654,0.554,0.522,0.1
core_12,core,,familiar,visual_agree,medium,0,gargoyle,hippopotamus,turkey,0,gargoyle,hippopotamus,turkey,animal,decoration,0.888,0.573,0.581,0.763,0.686,0.64,0.626,0.046
core_13,core,,familiar,visual_agree,easy,0,volleyball,pumpkin,strawberry,0,volleyball,pumpkin,strawberry,food,sports equipment,0.885,0.551,0.26,0.888,0.73,0.595,0.603,0.127
core_14,core,,familiar,visual_agree,very easy,0,chive,sunroof,pancake,1,sunroof,chive,pancake,plant,part of car,0.749,0.087,0.124,0.943,0.674,0.504,0.591,0.084
core_15,core,,familiar,visual_agree,very hard,0,suit,toe,bagpipe,2,bagpipe,suit,toe,clothing,musical instrument,0.72,0.598,0.288,0.478,0.562,0.52,0.506,0.042
core_16,core,,familiar,visual_agree,hard,0,potato,dragonfly,basil,1,dragonfly,basil,potato,plant,animal,0.818,0.743,0.367,0.687,0.725,0.62,0.505,0.104
core_17,core,,familiar,visual_agree,medium,0,caramel,oatmeal,bed,2,bed,caramel,oatmeal,food,furniture,0.732,0.345,0.142,0.779,0.623,0.552,0.506,0.07
core_18,core,,familiar,visual_agree,easy,0,dishwasher,microwave,shelf,2,shelf,dishwasher,microwave,electronic device,furniture,0.951,0.659,0.697,0.873,0.693,0.566,0.65,0.042
core_19,core,,familiar,visual_agree,very easy,0,rhubarb,grain,cassette,2,cassette,grain,rhubarb,food,container,0.772,0.131,0.132,0.937,0.709,0.528,0.503,0.181
blk00_00,block,0,familiar,visual_conflict,very hard,0,eggnog,flan,pie,0,eggnog,flan,pie,food,drink,0.91,0.88,0.817,0.546,0.655,0.668,0.663,-0.013
blk00_01,block,0,familiar,visual_conflict,hard,0,carriage,jukebox,windshield,1,jukebox,carriage,windshield,vehicle,electronic device,0.794,0.584,0.413,0.678,0.641,0.657,0.614,-0.017
blk00_02,block,0,familiar,visual_conflict,medium,0,violin,tapestry,tuxedo,0,violin,tapestry,tuxedo,home decor,musical instrument,0.846,0.512,0.499,0.789,0.475,0.524,0.553,-0.078
blk00_03,block,0,familiar,visual_conflict,easy,0,mango,coleslaw,antelope,2,antelope,coleslaw,mango,food,animal,0.779,0.249,0.442,0.847,0.593,0.516,0.631,-0.038
blk00_04,block,0,familiar,visual_conflict,very easy,0,leopard,tulip,rabbit,1,tulip,leopard,rabbit,animal,plant,0.943,0.457,0.633,0.937,0.676,0.546,0.739,-0.063
blk00_05,block,0,familiar,visual_conflict,very hard,0,pajamas,boa,anklet,2,anklet,boa,pajamas,clothing,decoration,0.909,0.832,0.827,0.525,0.565,0.629,0.536,-0.063
blk00_06,block,0,familiar,visual_conflict,hard,0,prune,watermelon,ladybug,2,ladybug,prune,watermelon,food,animal,0.731,0.355,0.608,0.594,0.646,0.607,0.665,-0.02
