trial_id,odd_concept,aoa_target,aoa_max,aoa_mean,n_con
training_00,clipboard,7.76,7.76,6.046666666666667,3
training_01,amplifier,11.35,11.35,6.903333333333333,3
training_02,forklift,9.11,9.11,6.349999999999999,3
training_03,brake,5.95,10.78,6.843333333333334,3
warmup_00,poster,8.12,9.26,8.35,3
warmup_01,cardigan,10.11,10.11,7.043333333333333,3
warmup_02,sweater,5.22,6.61,5.873333333333334,3
warmup_03,subway,7.68,10.56,9.413333333333334,3
catch_00,cymbal,9.94,9.94,5.873333333333332,3
catch_01,swordfish,9.33,9.33,6.703333333333333,3
catch_02,leggings,10.0,10.0,8.04,3
core_00,baseball,4.83,9.06,7.239999999999999,3
core_01,cactus,6.72,9.29,7.599999999999999,3
core_02,garlic,6.89,6.89,5.963333333333334,3
core_03,hammock,7.11,12.0,8.296666666666667,3
core_04,saddle,6.42,8.63,6.753333333333333,3
core_05,clam,7.37,8.95,7.6066666666666665,3
core_06,pot,5.95,9.37,7.586666666666667,3
core_07,orchid,9.76,9.76,6.762666666666665,3
core_08,marker,4.89,7.32,6.163333333333334,3
core_09,egg,3.89,8.37,5.8933333333333335,3
core_10,dish,4.89,7.18,5.706666666666666,3
core_11,bouquet,8.72,13.8,11.12,3
core_12,gargoyle,10.18,10.18,7.043333333333333,3
core_13,volleyball,7.05,7.05,5.346666666666667,3
core_14,sunroof,11.15,11.15,8.827,3
core_15,bagpipe,9.33,9.33,6.333333333333333,3
core_16,dragonfly,6.8,10.133,7.257666666666666,3
core_17,bed,2.89,6.58,4.656666666666667,3
core_18,shelf,5.5,7.67,6.776666666666666,3
core_19,cassette,6.37,10.53,8.113333333333333,3
blk00_00,eggnog,7.45,12.65,7.923333333333335,3
blk00_01,jukebox,7.42,7.85,7.036666666666666,3
blk00_02,violin,7.45,10.95,8.886666666666665,3
blk00_03,antelope,8.39,8.39,7.776666666666666,3
blk00_04,tulip,7.149,7.149,5.976333333333334,3
blk00_05,anklet,9.06,9.56,7.3676666666666675,3
blk00_06,ladybug,4.84,7.85,5.636666666666667,3
blk00_07,trampoline,6.79,8.8,7.843333333333334,3
blk00_08,toothpick,6.83,6.83,5.073333333333333,3
blk00_09,coyote,6.68,9.38,7.186666666666667,3
blk00_10,teabag,6.67,10.65,8.540000000000001,3
blk00_11,teapot,6.22,6.22,5.863333333333333,3
blk00_12,gondola,10.21,10.21,7.826666666666667,3
blk00_13,aloe,8.95,9.68,8.209999999999999,3
