subject,trial_id,tier,condition,correct,rt_s,group
0,training_00,training,chair_vs_loudspeaker,1,1.5419583759631967,adult
0,training_01,training,chair_vs_loudspeaker,1,2.1430211331260987,adult
0,training_02,training,chair_vs_abstract4,1,1.047168169608074,adult
0,training_03,training,lamp_vs_chair,1,1.0737511727519646,adult
0,training_04,training,lamp_vs_loudspeaker,1,0.41972214088312826,adult
0,training_05,training,lamp_vs_abstract4,1,2.0857970425913126,adult
0,shapenet1357,warmup,chair,1,1.3196715770374197,adult
0,shapenet942,warmup,chair,1,1.145590875696481,adult
0,shapenet1263,warmup,chair,1,1.205313738350044,adult
0,shapenet431,warmup,lamp,1,2.093794226256663,adult
0,shapenet1477,warmup,lamp,1,1.6904626579945838,adult
0,shapenet1053,warmup,lamp,1,1.2687822488581082,adult
0,shapenet1147,warmup,bench,1,1.2212676744526272,adult
0,shapenet886,warmup,bench,1,2.4506457192697915,adult
0,shapenet1082,familiar,lamp,1,1.161912185850568,adult
0,shapenet1392,familiar,telephone,1,1.71082489295648,adult
0,shapenet904,familiar,loudspeaker,1,1.6594942170153786,adult
0,shapenet950,familiar,cabinet,1,2.192346831428818,adult
0,shapenet1460,familiar,telephone,1,6.423778142479497,adult
0,shapenet1413,familiar,bench,1,3.1484285254574087,adult
0,shapenet469,familiar,loudspeaker,0,2.0302375661064316,adult
0,shapenet1451,familiar,display,1,2.7361670088611114,adult
0,shapenet697,familiar,chair,1,1.168448928709349,adult
0,shapenet1312,familiar,chair,1,0.902382469938188,adult
0,shapenet1285,familiar,cabinet,1,1.0037675070878642,adult
0,shapenet782,familiar,chair,1,1.238002881618321,adult
0,shapenet708,familiar,bench,1,2.391021855670376,adult
0,shapegen1507,novel,abstract4,1,3.101403343566328,adult
0,shapegen1554,novel,abstract4,1,1.894856752191724,adult
0,shapegen2205,novel,abstract4,1,1.5711425066832756,adult
0,shapegen2260,novel,abstract4,1,1.0551668577393503,adult
0,shapegen2267,novel,abstract4,1,3.411694309368576,adult
0,shapegen2132,novel,abstract4,1,3.5368632572899354,adult
0,shapegen2249,novel,abstract4,1,1.3884309838144127,adult
0,shapegen2326,novel,abstract4,1,1.3038800189730104,adult
1,training_00,training,chair_vs_loudspeaker,1,2.717197870592704,adult
1,training_01,training,chair_vs_loudspeaker,1,1.1366637359048026,adult
1,training_02,training,chair_vs_abstract4,1,1.3232566541492146,adult
1,training_03,training,lamp_vs_chair,1,0.7182389207233575,adult
1,training_04,training,lamp_vs_loudspeaker,1,2.1740807413628693,adult
1,training_05,training,lamp_vs_abstract4,1,1.0692925863703482,adult
1,shapenet1357,warmup,chair,1,0.8164655068295165,adult
1,shapenet942,warmup,chair,1,1.4543091683345435,adult
1,shapenet1263,warmup,chair,1,1.3203708867302002,adult
1,shapenet431,warmup,lamp,1,2.005022692063508,adult
1,shapenet1477,warmup,lamp,1,2.6944325431577814,adult
1,shapenet1053,warmup,lamp,1,2.9663777311815496,adult
1,shapenet1147,warmup,bench,1,1.731525153103265,adult
1,shapenet886,warmup,bench,1,1.4254963188840672,adult
1,shapenet1082,familiar,lamp,1,1.5593109044607418,adult
1,shapenet1392,familiar,telephone,1,0.5570704032736229,adult
1,shapenet904,familiar,loudspeaker,1,2.1495287807437458,adult
1,shapenet950,familiar,cabinet,1,2.2559855276375838,adult
1,shapenet1460,familiar,telephone,1,1.7075134046107978,adult
1,shapenet1413,familiar,bench,1,1.2036877962375596,adult
1,shapenet469,familiar,loudspeaker,0,3.460963449833078,adult
1,shapenet1451,familiar,display,0,1.8247038676935141,adult
1,shapenet697,familiar,chair,1,0.8664841098803092,adult
1,shapenet1312,familiar,chair,1,1.9267256905264034,adult
1,shapenet1285,familiar,cabinet,1,1.5145091534977537,adult
1,shapenet782,familiar,chair,1,2.281321582225052,adult
1,shapenet708,familiar,bench,1,1.6375523893118797,adult
1,shapegen1507,novel,abstract4,1,2.423680681795769,adult
1,shapegen1554,novel,abstract4,1,2.073103637632868,adult
1,shapegen2205,novel,abstract4,1,1.467362609267895,adult
1,shapegen2260,novel,abstract4,1,2.9455079436818963,adult
1,shapegen2267,novel,abstract4,1,3.914588758350202,adult
1,shapegen2132,novel,abstract4,1,3.891966211596196,adult
1,shapegen2249,novel,abstract4,1,1.6658296318514831,adult
1,shapegen2326,novel,abstract4,1,3.151224373972536,adult
2,training_00,training,chair_vs_loudspeaker,1,1.8213422502947718,adult
2,training_01,training,chair_vs_loudspeaker,1,0.7844218010568681,adult
2,training_02,training,chair_vs_abstract4,1,1.7981015195305148,adult
2,training_03,training,lamp_vs_chair,1,1.2649883088988496,adult
2,training_04,training,lamp_vs_loudspeaker,1,1.1582953959938043,adult
2,training_05,training,lamp_vs_abstract4,1,1.7467195904613217,adult
2,shapenet1357,warmup,chair,1,2.9557504122454192,adult
2,shapenet942,warmup,chair,1,5.015970146042202,adult
2,shapenet1263,warmup,chair,1,0.8369298508567075,adult
2,shapenet431,warmup,lamp,1,2.7341781428409386,adult
2,shapenet1477,warmup,lamp,1,2.112647731184553,adult
2,shapenet1053,warmup,lamp,1,2.766783593318893,adult
2,shapenet1147,warmup,bench,1,1.7715118782960246,adult
2,shapenet886,warmup,bench,1,2.3427706652157916,adult
2,shapenet1082,familiar,lamp,1,1.9906086117269284,adult
